"분류
기준","질병분류
코드",검별,주석,한글명칭,영문명칭
세,F30.0,,,경조증,Hypomania
,F30.0,,,"기분의 지속적 경한 상승, 정력과 활동성의 증가, 두드러진 행복감, 신체 및 정신능률을 특징으로 하는 장애. 사교성의 증가, 수다, 과다친숙, 성적 에너지의 증가 및 수면욕구 감소가 흔히 있으나 일을 망치거나 사회적 거절을 당할 정도는 아니다. 자극과민성, 자만 및 상스러운 행동이 도취적 사교성을 대신하여 나타나기도 한다. 기분 또는 행동의 장애가 환각 또는 망상을 동반하지 않는다.","A disorder characterized by a persistent mild elevation of mood, increased energy and activity, and usually marked feelings of well-being and both physical and mental efficiency. Increased sociability, talkativeness, over-familiarity, increased sexual energy, and a decreased need for sleep are often present but not to the extent that they lead to severe disruption of work or result in social rejection. Irritability, conceit, and boorish behaviour may take the place of the more usual euphoric sociability. The disturbances of mood and behaviour are not accompanied by hallucinations or delusions."
세,F30.1,,,정신병적 증상이 없는 조병,Mania without psychotic symptoms
,F30.1,,,"기분이 고조되어 환자의 주변환경을 견디지 못할 정도이며 기분의 변화가 근심없는 명랑에서 부터 거의 자제할 수 없는 흥분까지 있을 수 있다. 정력증가를 동반한 의기양양으로 인해 과활동성, 언어압박 및 수면욕구 감소가 올 수 있다. 주의력이 지속되지 못하며 가끔 심한 주의산만이 있다. 자존심이 고양되어 과장된 생각 및 지나친 자신감을 가진다. 일반적 사회 제약이 없으면 무모하고 개의치 않거나 또는 상황에 부적절하고 성격을 벗어난 행동을 할 수도 있다.","Mood is elevated out of keeping with the patient´s circumstances and may vary from carefree joviality to almost uncontrollable excitement. Elation is accompanied by increased energy, resulting in overactivity, pressure of speech, and a decreased need for sleep. Attention cannot be sustained, and there is often marked distractibility. Self-esteem is often inflated with grandiose ideas and overconfidence. Loss of normal social inhibitions may result in behaviour that is reckless, foolhardy, or inappropriate to the circumstances, and out of character."
세,F30.2,,,정신병적 증상이 있는 조병,Mania with psychotic symptoms
,F30.2,,,"F30.1에 기술되어 있는 임상양상에 추가로 망상(보통 과장된) 또는 환각(환자에게 직접 이야기하는 음성)이 있거나 또는 흥분, 과도한 운동활동성 및 생각의 도약이 너무 극단적이어서 일상의 의사소통을 환자가 이해 못하거나 접근하지 못한다.","In addition to the clinical picture described in F30.1, delusions (usually grandiose) or hallucinations (usually of voices speaking directly to the patient) are present, or the excitement, excessive motor activity, and flight of ideas are so extreme that the subject is incomprehensible or inaccessible to ordinary communication."
,F30.2,,,기분과 조화된 정신병적 증상을 동반한 조병,Mania with mood-congruent psychotic symptoms
,F30.2,,,기분과 부조화된 정신병적 증상을 동반한 조병,Mania with mood-incongruent psychotic symptoms
,F30.2,,,조증성 혼미,Manic stupor
세,F30.8,,,기타 조증 에피소드,Other manic episodes
세,F30.9,,,상세불명의 조증 에피소드,"Manic episode, unspecified"
,F30.9,,,조병 NOS,Mania NOS
소,F31,,,양극성 정동장애,Bipolar affective disorder
,F31,,,환자의 기분 및 활동성의 수준이 의미있게 장애를 받은 두번 이상의 에피소드가 특징인 장애. 환자가 어떤 때는 기분이 고조되고 정력 및 활동성이 증가되지만(경조병 또는 조병) 또 다른 때에는 기분이 저하되고 정력 및 활동성이 감소(우울병)한다. 반복된 에피소드의 경조병 또는 조병만을 앓고 있는 환자도 양극성으로 분류한다.,"A disorder characterized by two or more episodes in which the patient´s mood and activity levels are significantly disturbed, this disturbance consisting on some occasions of an elevation of mood and increased energy and activity (hypomania or mania) and on others of a lowering of mood and decreased energy and activity (depression). Repeated episodes of hypomania or mania only are classified as bipolar."
세,F31.0,,,"양극성 정동장애, 현존 경조증","Bipolar affective disorder, current episode hypomanic"
,F31.0,,,"환자는 현재 경조병이며 과거에 적어도 한번 다른 정동장애(경조병성, 조병성, 우울성 또는 혼합형)의 경험이 있다.","The patient is currently hypomanic, and has had at least one other affective episode (hypomanic, manic, depressive, or mixed) in the past."
세,F31.1,,,"양극성 정동장애, 현존 정신병적 증상이 없는 조증","Bipolar affective disorder, current episode manic without psychotic symptoms"
,F31.1,,,"정신병 환자는 현재 조병이며 정신병적 증상이 없으며(F30.1과 같이) 과거에 적어도 한번 다른 정동장애(경조병성, 조병성, 우울성 또는 혼합형)의 경험이 있다.","The patient is currently manic, without psychotic symptoms (as in F30.1), and has had at least one other affective episode (hypomanic, manic, depressive, or mixed) in the past."
세,F31.2,,,"양극성 정동장애, 현존 정신병적 증상이 있는 조증","Bipolar affective disorder, current episode manic with psychotic symptoms"
,F31.2,,,"환자는 현재 조병이며 정신병적 증상이 있으며(F30.2와 같이) 과거에 적어도 한번 다른 정동장애(경조병성, 조병성, 우울성, 혼합형)의 경험이 있다.","The patient is currently manic, with psychotic symptoms (as in F30.2), and has had at least one other affective episode (hypomanic, manic, depressive, or mixed) in the past."
세,F31.3,,,"양극성 정동장애, 현존 경증 또는 중등도의 우울증","Bipolar affective disorder, current episode mild or moderate depression"
,F31.3,,,"환자는 현존 경증 또는 중등도의 우울병이며(F32.0 또는 F32.1) 과거에 적어도 한번은 확실한 경조병, 조병 또는 혼합형 정동에피소드가 있다.","The patient is currently depressed, as in a depressive episode of either mild or moderate severity (F32.0 or F32.1), and has had at least one authenticated hypomanic, manic, or mixed affective episode in the past."
세,F31.4,,,"양극성 정동장애, 현존 정신병적 증상이 없는 심한 우울증","Bipolar affective disorder, current episode severe depression without psychotic symptoms"
,F31.4,,,"환자는 현존 정신병적 증상이 없는 심한 우울병이며(F32.2)과거에 적어도 한번은 확실한 경조병, 조병 또는 혼합형 정동에피소드가 있다.","The patient is currently depressed, as in severe depressive episode without psychotic symptoms (F32.2), and has had at least one authenticated hypomanic, manic, or mixed affective episode in the past."
세,F31.5,,,"양극성 정동장애, 현존 정신병적 증상이 있는 심한 우울증","Bipolar affective disorder, current episode severe depression with psychotic symptoms"
,F31.5,,,"환자는 현존 정신병적 증상이 있는 심한 우울병(F32.3)이며 과거에도 적어도 한번은 확실한 경조병, 조병 또는 혼합형 정동에피소드가 있다.","The patient is currently depressed, as in severe depressive episode with psychotic symptoms (F32.3), and has had at least one authenticated hypomanic, manic, or mixed affective episode in the past."
세,F31.6,,,"양극성 정동장애, 현존 혼합형","Bipolar affective disorder, current episode mixed"
,F31.6,,,"환자는 과거에 적어도 한번은 확실한 조병, 경조병, 우울병 또는 혼합형 정동 에피소드가 있으며 현재 조병 및 우울병 증상의 혼합 또는 빠른 교대를 보인다.","The patient has had at least one authenticated hypomanic, manic, depressive, or mixed affective episode in the past, and currently exhibits either a mixture or a rapid alteration of manic and depressive symptoms."
세,F31.7,,,"양극성 정동장애, 현존 관해상태","Bipolar affective disorder, currently in remission"
,F31.7,,,"환자는 과거에 적어도 한번은 확실한 경조병, 조병 또는 혼합형 정동에피소드가 있으며 추가로 적어도 한번 우울성, 경조병성, 또는 조병 정동성 장애가 있었으나, 현재 어떤 의미있는 정서장애도 앓고 있지 않으며 그 기간이 몇 달 정도이다. 예방 치료를 받고 있는 동안에 관한 기간도 여기에 분류해야 한다.","The patient has had at least one authenticated hypomanic, manic, or mixed affective episode in the past, and at least one other affective episode (hypomanic, manic, depressive, or mixed) in addition, but is not currently suffering from any significant mood disturbance, and has not done so for several months. Periods of remission during prophylactic treatment should be coded here."
세,F31.8,,,기타 양극성 정동장애,Other bipolar affective disorders
,F31.8,,,양극성 Ⅱ장애,Bipolar Ⅱ disorder
,F31.8,,,재발성 조증 에피소드 NOS,Recurrent manic episodes NOS
세,F31.9,,,상세불명의 양극성 정동장애,"Bipolar affective disorder, unspecified"
,F31.9,,,조울증 NOS,Manic depression NOS
소,F32,,,우울에피소드,Depressive episode
,F32,,,"전형적인 경도, 중등도, 중증 우울병 에피소드에서 환자는 기분의 저하, 정력 감퇴, 활동력 감소를 받게 된다. 흥미, 즐거움이 감소하고 집중장애와 최소한의 노력에도 심한 피로감을 느낀다. 잠을 잘 자지 못하며 식욕이 없고 자부심이나 자신감이 결여되고 죄책감이나 가치없음도 느낄 수 있다. 기분저하의 정도는 매일 다르며 환경에 좌우되지 않고 흥미나 즐거운 감정의 소실, 평소보다 몇 시간 먼저 일어나기 등의 소위 “신체적” 증상이 동반된다. 우울병은 아침에 더 심하고 뚜렷한 정신운동지연, 안절부절, 식욕소실, 체중감소, 성욕감퇴가 동반될 수 있다.  위와 같은 증상의 심도와 수에 따라 우울병의 에피소드는 경도, 중등도, 중증으로 나뉜다.","In typical mild, moderate, or severe depressive episodes, the patient suffers from lowering of mood, reduction of energy, and decrease in activity. Capacity for enjoyment, interest, and concentration is reduced, and marked tiredness after even minimum effort is common. Sleep is usually disturbed and appetite diminished. Self-esteem and self-confidence are almost always reduced and, even in the mild form, some ideas of guilt or worthlessness are often present. The lowered mood varies little from day to day, is unresponsive to circumstances and may be accompanied by so-called ""somatic"" symptoms, such as loss of interest and pleasurable feelings, waking in the morning several hours before the usual time, depression worst in the morning, marked psychomotor retardation, agitation, loss of appetite, weight loss, and loss of libido. Depending upon the number and severity of the symptoms, a depressive episode may be specified as mild, moderate or severe."
세,F32.0,,,경도 우울에피소드,Mild depressive episode
,F32.0,,,위의 증상 중 2개 또는 3개가 보통 존재한다. 환자는 보통 이들 증상에 의해 고통받으나 최상의 활동을 계속할 수 있을 것이다.,Two or three of the above symptoms are usually present. The patient is usually distressed by these but will probably be able to continue with most activities.
세,F32.1,,,중등도 우울에피소드,Moderate depressive episode
,F32.1,,,위의 증상 중 4개 이상이 보통 존재하고 환자는 보통의 생활을 계속하는데 어려움을 겪을 가능성이 있다.,Four or more of the above symptoms are usually present and the patient is likely to have great difficulty in continuing with ordinary activities.
세,F32.2,,,정신병적 증상이 없는 중증의 우울에피소드,Severe depressive episode without psychotic symptoms
,F32.2,,,"환자는 위의 몇몇 증상 중에서 우울병 에피소드가 뚜렷하며 의기소침, 특히 자부심의 소실이나 죄책감을 느낀다. 자살충동이나 행위가 일반적이며 많은 “신체적” 증상이 동반된다.","An episode of depression in which several of the above symptoms are marked and distressing, typically loss of self-esteem and ideas of worthlessness or guilt. Suicidal thoughts and acts are common and a number of ""somatic"" symptoms are usually present."
,F32.2,,,초조우울증 정신병적 증상이 없는 단일에피소드,Agitated depression single episode without psychotic symptoms
,F32.2,,,주요우울증 정신병적 증상이 없는 단일에피소드,Major depression single episode without psychotic symptoms
,F32.2,,,저활력 우울증 정신병적 증상이 없는 단일에피소드,Vital depression single episode without psychotic symptoms
세,F32.3,,,정신병적 증상이 있는 중증의 우울에피소드,Severe depressive episode with psychotic symptoms
,F32.3,,,"F32.2와 같은 우울증 에피소드. 현재 일상 사회생활이 불가능한 정도의 환각, 망상, 혼미, 정신운동성 지연을 동반한다. 자살, 탈수, 기아로 생명이 위험할 수 있다. 이러한 환각이나 망상은 기분과 일치할 수도 아닐 수도 있다.","An episode of depression as described in F32.2, but with the presence of hallucinations, delusions, psychomotor retardation, or stupor so severe that ordinary social activities are impossible; there may be danger to life from suicide, dehydration, or starvation. The hallucinations and delusions may or may not be mood-congruent."
,F32.3,,,정신병적 증상을 가진 주요우울증의 단일 에피소드,Single episodes of major-depression with psychotic symptoms
,F32.3,,,심인성 우울증성 정신병의 단일 에피소드,Single episodes of psychogenic depressive psychosis
,F32.3,,,정신병적 우울증의 단일 에피소드,Single episodes of psychotic depression
,F32.3,,,반응성 우울증 정신병의 단일 에피소드,Single episodes of reactive depressive psychosis
세,F32.8,,,기타 우울에피소드,Other depressive episodes
,F32.8,,,비정형우울증,Atypical depression
,F32.8,,,“가면”우울증의 단일 에피소드 NOS,Single episodes of “masked” depression NOS
세,F32.9,,,상세불명의 우울에피소드,"Depressive episode, unspecified"
,F32.9,,,우울증 NOS,Depression NOS
,F32.9,,,우울장애 NOS,Depressive disorder NOS
소,F33,,,재발성 우울장애,Recurrent depressive disorder
,F33,,,"독립된 기분의 고조나 정력의 상승(조병)의 과거력이 없는 우울에피소드(F32.-)로써 우울병이 반복된 장애. 우울증에피소드 바로 후거나 항우울병 치료에 의해 촉진되는 짧고 가벼운 기분의 고조나 과잉활동(경조증)이 있을 수 있다. 재발성 우울병장애(F33.2와 F33.3)보다 더 중한 형태는 이전의 개념인 조울정신병, 우울형, 중대한 우울증, 내인성 우울증 등과 공통점을 가진다.
첫 에피소드는 소아기부터 노년기 언제나 생길 수 있으며 시작은 급성 또는 만성 일 수 있고 기간은 수주에서 수개월까지  다양하다. 재발우울증성 장애 환자가 조병의 에피소드를 가질 위험은 완전히 배제할 수는 없으나 주로 많은 우울성 에피소드만을 경험한다. 만일 그런 에피소드가 발생한다면 진단은 양극성 정동성 장애(F31.-)가 된다.","A disorder characterized by repeated episodes of depression as described for depressive episode (F32.-), without any history of independent episodes of mood elevation and increased energy (mania). There may, however, be brief episodes of mild mood elevation and overactivity (hypomania) immediately after a depressive episode, sometimes precipitated by antidepressant treatment. The more severe forms of recurrent depressive disorder (F33.2 and F33.3) have much in common with earlier concepts such as manic-depressive depression, melancholia, vital depression and endogenous depression. The first episode may occur at any age from childhood to old age, the onset may be either acute or insidious, and the duration varies from a few weeks to many months. The risk that a patient with recurrent depressive disorder will have an episode of mania never disappears completely, however many depressive episodes have been experienced. If such an episode does occur, the diagnosis should be changed to bipolar affective disorder (F31.-)."
세,F33.0,,,"재발성 우울장애, 현존 경도","Recurrent depressive disorder, current episode mild"
,F33.0,,,F32.0처럼 우울증의 에피소드의 반복과 현존의 경도를 특징으로 하며 조병의 과거력은 없다.,"A disorder characterized by repeated episodes of depression, the current episode being mild, as in F32.0, and without any history of mania."
세,F33.1,,,"재발성 우울장애, 현존 중등도","Recurrent depressive disorder, current episode moderate"
,F33.1,,,F32.1과 같은 우울증 에피소드의 반복과 현재는 중등도의 에피소드를 특징으로 하며 조병의 과거력은 없다.,"A disorder characterized by repeated episodes of depression, the current episode being of moderate severity, as in F32.1, and without any history of mania."
세,F33.2,,,"재발성 우울장애, 현존 정신병적 증상이 없는 중증","Recurrent depressive disorder, current episode severe without psychotic symptoms"
,F33.2,,,F32.2와 같은 우울성 에피소드의 반복과 현존 정신병적 증상이 없는 중증을 특징으로 하며 조병의 과거력은 없다.,"A disorder characterized by repeated episodes of depression, the current episode being severe without psychotic symptoms, as in F32.2, and without any history of mania."
,F33.2,,,정신병적 증상이 없는 내인성 우울증,Endogenous depression without psychotic symptoms
,F33.2,,,정신병적 증상이 없이 재발하는 주요우울증,"Major depression, recurrent without psychotic symptoms"
,F33.2,,,정신병적 증상이 없는 우울형의 조울정신병,"Manic-depressive psychosis, depressed type without psychotic symptoms"
,F33.2,,,정신병적 증상이 없이 재발하는 저활력 우울증,"Vital depression, recurrent without psychotic symptoms"
세,F33.3,,,"재발성 우울장애, 현존 정신병적 증상이 있는 중증","Recurrent depressive disorder, current episode severe with psychotic symptoms"
,F33.3,,,F32.3과 같이 우울증 에피소드의 반복과  현존 정신병적 증상이 있으며 중증이고 조병의 직전 에피소드는 없다.,"A disorder characterized by repeated episodes of depression, the current episode being severe with psychotic symptoms, as in F32.3, and with no previous episodes of mania."
,F33.3,,,정신병적 증상이 있는 내인성 우울증,Endogenous depression with psychotic symptoms
,F33.3,,,"조울정신병, 정신병적 증상을 가진 우울증형","Manic-depressive psychosis, depressed type with psychotic symptoms"
,F33.3,,,정신병적 증상이 있는 주요우울증의 반복되는 중증 에피소드,Recurrent severe episodes of major depression with psychotic symptoms
,F33.3,,,심인성 우울증성 정신병의 반복되는 중증 에피소드,Recurrent severe episodes of psychogenic depressive psychosis
,F33.3,,,정신병적 우울증의 반복되는 중증 에피소드,Recurrent severe episodes of psychotic depression
,F33.3,,,반응성 우울증정신병의 반복되는 중증 에피소드,Recurrent severe episodes of reactive depressive psychosis
세,F33.4,,,"재발성 우울장애, 현존 관해 상태","Recurrent depressive disorder, currently in remission"
,F33.4,,,환자는 두 번 이상의 F33.0-F33.3 같은 우울증 에피소드를 과거에 겪었으나 몇 달간 유지되어 온 우울증의 증상으로부터 벗어난 현재 상태.,"The patient has had two or more depressive episodes as described in F33.0-F33.3, in the past, but has been free from depressive symptoms for several months."
세,F33.8,,,기타 재발성 우울장애,Other recurrent depressive disorders
세,F33.9,,,상세불명의 재발성 우울장애,"Recurrent depressive disorder, unspecified"
,F33.9,,,단극성 우울증 NOS,Monopolar depression NOS
소,F34,,,지속성 기분[정동]장애,Persistent mood [affective] disorders
,F34,,,대부분의 개인적 에피소드가 경조병 또는 우울병이라 불릴 만큼 심하지 않은 지속적이고 안절부절하는 기분 장애. 정동 장애는 수년간 또는 환자 성인기의 대부분을 차지하므로 상당한 무력감이나 의기소침을 가져오게 된다. 어느 면에서는 재발성 또는 단일 조병이나 우울병의 에피소드가 존속성 정동장애 위에 부가될 수도 있다.,"Persistent and usually fluctuating disorders of mood in which the majority of the individual episodes are not sufficiently severe to warrant being described as hypomanic or mild depressive episodes. Because they last for many years, and sometimes for the greater part of the patient´s adult life, they involve considerable distress and disability. In some instances, recurrent or single manic or depressive episodes may become superimposed on a persistent affective disorder."
세,F34.0,,,순환기분장애,Cyclothymia
,F34.0,,,기분의 지속성 불안정성은 많은 우울병과 경한 의기양양의 기간을 포함하지만 F31.-의 양극성 정동 장애나 F33.-의 재발성 우울성 장애라 하기엔 너무 기간이 짧고 경하다. 이 장애는 양극성 정동 장애로 환자의 친척에서 주로 발견되며 감정순환기질증 환자가 양극성 정동 장애 환자로 발전할 수 있다.,"A persistent instability of mood involving numerous periods of depression and mild elation, none of which is sufficiently severe or prolonged to justify a diagnosis of bipolar affective disorder (F31.-) or recurrent depressive disorder (F33.-). This disorder is frequently found in the relatives of patients with bipolar affective disorder. Some patients with cyclothymia eventually develop bipolar affective disorder."
,F34.0,,,정동성 인격장애,Affective personality disorder
,F34.0,,,순환형 인격,Cycloid personality
,F34.0,,,순환기분성 인격,Cyclothymic personality
세,F34.1,,,기분저하증,Dysthymia
,F34.1,,,"수년간 지속되어온 만성적인 기분의 우울이지만 F33.-의 중증, 중등도 또는 경도의 재발성 우울성 장애라 하기엔 충분히 길거나 심하지 않다.","A chronic depression of mood, lasting at least several years, which is not sufficiently severe, or in which individual episodes are not sufficiently prolonged, to justify a diagnosis of severe, moderate, or mild recurrent depressive disorder (F33.-)."
,F34.1,,,우울신경증,Depressive neurosis
,F34.1,,,우울인격장애,Depressive personality disorder
,F34.1,,,신경증성 우울증,Neurotic depression
,F34.1,,,지속성 불안우울증,Persistent anxiety depression
세,F34.8,,,기타 지속성 기분[정동]장애,Other persistent mood[affective] disorders
세,F34.9,,,상세불명의 지속성 기분[정동]장애,"Persistent mood[affective] disorder, unspecified"
소,F38,,,기타 기분[정동]장애,Other mood [affective] disorders
,F38,,,심하거나 지속성이 아니기 때문에  F30-F34에 분류하기 적당하지 않은 기타 기분 장애,"Any other mood disorders that do not justify classification to F30-F34, because they are not of sufficient severity or duration."
세,F38.0,,,기타 단일기분[정동]장애,Other single mood[affective] disorders
,F38.0,,,혼합형정동에피소드,Mixed affective episode
세,F38.1,,,기타 재발성 기분[정동]장애,Other recurrent mood[affective] disorders
,F38.1,,,재발성 단기 우울에피소드,Recurrent brief depressive episodes
세,F38.8,,,기타 명시된 기분[정동]장애,Other specified mood [affective] disorders
소,F39,,,상세불명의 기분[정동]장애,Unspecified mood[affective] disorder
,F39,,,정동성 정신병 NOS,Affective psychosis NOS
소,F40,,,공포성 불안장애,Phobic anxiety disorders
,F40,,,"일반적으로 안전하다고 설정된 상황에서 불안이 주된 형태로 유발되는 장애군.
결국 이런 상황을 도피하거나 공포에 떨며 지내게 된다. 환자는 두근거림, 실신의 느낌 등과 죽음, 정신나감, 자제력 소실 등의 이차적인 공포를 호소한다. 공포 상황으로의 예상된 진입은 불안을 낳게 된다. 공포성 불안과 우울증은 같이 존재할 수 있다. 공포성 불안이나 우울증에피소드의 두가지 진단이 필요하거나 또는 단지 하나의 진단만이 필요할지는 시간 경과와 진찰상담시의 치료방침에 따라 결정된다.","A group of disorders in which anxiety is evoked only, or predominantly, in certain well-defined situations that are not currently dangerous. As a result these situations are characteristically avoided or endured with dread. The patient´s concern may be focused on individual symptoms like palpitations or feeling faint and is often associated with secondary fears of dying, losing control, or going mad. Contemplating entry to the phobic situation usually generates anticipatory anxiety. Phobic anxiety and depression often coexist. Whether two diagnoses, phobic anxiety and depressive episode, are needed, or only one, is determined by the time course of the two conditions and by therapeutic considerations at the time of consultation."
중,F40-F48,,,"신경증성, 스트레스-연관 및 신체형 장애(F40-F48)","Neurotic, stress-related and somatoform disorders(F40-F48)"
세,F40.0,,,광장공포증,Agoraphobia
,F40.0,,,"집을 떠난다거나 상점이나 군중이 많이 모이는 공공장소에 들어가거나 기차로 홀로 여행하는 것을 두려워 하는 공포증. 돌연한 공포장애는 과거와 현재의 흔한 에피소드의 형태 이다. 우울병성, 강박성 증상, 사회 공포증 등은 일반적으로 이런 장애의 부수적 형태를 취한다. 공포성 상황에 대한 도피가 뛰어나서 어떤 광장 공포증 환자에서는 그들의 공포 상황을 잘 피할 수 있기 때문에 불안을 거의 느끼지 않을 수 있다.","A fairly well-defined cluster of phobias embracing fears of leaving home, entering shops, crowds and public places, or travelling alone in trains, buses or planes. Panic disorder is a frequent feature of both present and past episodes. Depressive and obsessional symptoms and social phobias are also commonly present as subsidiary features. Avoidance of the phobic situation is often prominent, and some agoraphobics experience little anxiety because they are able to avoid their phobic situations."
,F40.0,,,공황장애의 병력이 없는 광장공포증,Agoraphobia without history of panic disorder
,F40.0,,,광장공포증이 있는 공황장애,Panic disorder with agoraphobia
세,F40.1,,,사회공포증,Social phobias
,F40.1,,,"다른 사람이 자기를 관찰하는 것을 두려워하여 대인관계를 피함. 더욱 만연된 사회공포증은 주로 열등감과 비난을 두려워하는 것과 관련된다. 증상은 얼굴 붉힘, 손의 떨림, 구역, 절박뇨 등이며 환자는 이러한 불안의 이차적 표현들을 주요 문제로 호소 한다. 이 증상은 공황발작으로 발전할 수 있다.","Fear of scrutiny by other people leading to avoidance of social situations. More pervasive social phobias are usually associated with low self-esteem and fear of criticism. They may present as a complaint of blushing, hand tremor, nausea, or urgency of micturition, the patient sometimes being convinced that one of these secondary manifestations of their anxiety is the primary problem. Symptoms may progress to panic attacks."
,F40.1,,,대인공포증,Anthropophobia
,F40.1,,,사회신경증,Social neurosis
세,F40.2,,,특정 (고립된) 공포증,Specific (isolated) phobias
,F40.2,,,"특수한 입장 즉, 어떤 동물과의 접촉, 높은 곳, 천둥, 어둠, 비행, 닫힌 공간, 공중화장실에서의 배뇨 및 배변, 어떤 음식의 섭취, 치과, 피나 상해를 볼 때 등에 한정된 공포증. 이 같이 유발상황은 별개지만 한번 그 같은 상황이 되면 광장공포증이나 사회공포증에서와 같은 공황을 자아낼수 있다.","Phobias restricted to highly specific situations such as proximity to particular animals, heights, thunder, darkness, flying, closed spaces, urinating or defecating in public toilets, eating certain foods, dentistry, or the sight of blood or injury. Though the triggering situation is discrete, contact with it can evoke panic as in agoraphobia or social phobia."
,F40.2,,,고소공포증,Acrophobia
,F40.2,,,단순공포증,Simple phobia
,F40.2,,,동물공포증,Animal phobias
,F40.2,,,밀폐공포증,Claustrophobia
,F40.2,,,혈액-주사-손상형 공포증,Blood-Injection-Injury type phobia
세,F40.8,,,기타 공포성 불안장애,Other phobic anxiety disorders
세,F40.9,,,상세불명의 공포성 불안장애,"Phobic anxiety disorder, unspecified"
,F40.9,,,공포증 NOS,Phobia NOS
,F40.9,,,공포증 상태 NOS,Phobic state NOS
소,F41,,,기타 불안장애,Other anxiety disorders
,F41,,,어떤 환경에 제한되지 않는 불안이 주 증상인 장애. 우울병성 강박성 증상과 공포성 불안의 요소까지도 이차적 이거나 덜 심하게 나타날 수 있다.,"Disorders in which manifestation of anxiety is the major symptom and is not restricted to any particular environmental situation. Depressive and obsessional symptoms, and even some elements of phobic anxiety, may also be present, provided that they are clearly secondary or less severe."
세,F41.0,,,공황장애[간헐 발작성 불안],Panic disorder [episodic paroxysmal anxiety]
,F41.0,,,"본질적으로 어떤 특수한 상황이나 환경에 제약받지 않으며 그렇기에 예측 불가능한 심한 공황의 재발성 발작. 다른 불안장애와 같이 주요 증상 은 급작스런 두근거림, 가슴통증, 숨이 막히는 듯한 느낌, 어지럼, 비현실적 감각(이인증 또는 현실감 소실)이다. 죽음, 자제력 상실, 정신질환에 대한 이차적 공포도 있을 수 있다. 만약 환자가 공황장애의 발작시기에 우울증 장애가 동반되어 있다면 우울증의 이차적 증상으로 해석하여, 공황장애 라는 진단을 내릴 수 없다","The essential feature is recurrent attacks of severe anxiety (panic), which are not restricted to any particular situation or set of circumstances and are therefore unpredictable. As with other anxiety disorders, the dominant symptoms include sudden onset of palpitations, chest pain, choking sensations, dizziness, and feelings of unreality (depersonalization or derealization). There is often also a secondary fear of dying, losing control, or going mad. Panic disorder should not be given as the main diagnosis if the patient has a depressive disorder at the time the attacks start; in these circumstances the panic attacks are probably secondary to depression."
,F41.0,,,공황발작,Panic attack
,F41.0,,,공황상태,Panic state
세,F41.1,,,범불안장애,Generalized anxiety disorder
,F41.1,,,"어떤 특수한 환경이나 처지에 강하게 구애받지 않는 전반적이고 지속적인 불안(즉 정착되지 않은). 지배적 증상은 다양하나 지속적인 신경질, 떨림, 근육긴장, 발한, 어질 어질함, 현기증, 상복부 불쾌감을 느낀다. 또한 환자 자신이나 그 친척들이 아프게 되거나 사고를 당하게 될 것이라는 공포가 표현되기도 한다.","Anxiety that is generalized and persistent but not restricted to, or even strongly predominating in, any particular environmental circumstances (i.e. it is ""free-floating""). The dominant symptoms are variable but include complaints of persistent nervousness, trembling, muscular tensions, sweating, lightheadedness, palpitations, dizziness, and epigastric discomfort. Fears that the patient or a relative will shortly become ill or have an accident are often expressed."
,F41.1,,,불안 신경증,Anxiety neurosis
,F41.1,,,불안 반응,Anxiety reaction
,F41.1,,,불안 상태,Anxiety state
세,F41.2,,,혼합형 불안 및 우울장애,Mixed anxiety and depressive disorder
,F41.2,,,이 분류는 불안과 우울병이 공존하지만 어느 한쪽도 명확하게 우세하지 않으며 독립되어 정의할 만큼 증상이 존재하지도 않을 때 쓰인다.  불안과 우울병의 증상이 있고 개개의 진단을 내릴 수 있을 만큼 심하다면 이 분류는 쓰이지 않는다.,"This category should be used when symptoms of anxiety and depression are both present, but neither is clearly predominant, and neither type of symptom is present to the extent that justifies a diagnosis if considered separately. When both anxiety and depressive symptoms are present and severe enough to justify individual diagnoses, both diagnoses should be recorded and this category should not be used."
,F41.2,,,불안우울증(경도이거나 지속되지 않음),Anxiety depression(mild or not persistent)
세,F41.3,,,기타 혼합형 불안장애,Other mixed anxiety disorders
,F41.3,,,불안이 F42-F48의 장애형태와 혼합된 증상. 증상의 형태를 개별적으로 검토하더라도 진단을 명확화하기에 충분하지 않다.,Symptoms of anxiety mixed with features of other disorders in F42-F48. Neither type of symptom is severe enough to justify a diagnosis if considered separately.
세,F41.8,,,기타 명시된 불안장애,Other specified anxiety disorders
,F41.8,,,불안히스테리,Anxiety hysteria
세,F41.9,,,상세불명의 불안장애,"Anxiety disorder, unspecified"
,F41.9,,,불안 NOS,Anxiety NOS
소,F42,,,강박장애,Obsessive-compulsive disorder
